,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
0,The Witcher 3: Wild Hunt - Expansion Pass,2015-05-19,99,3357,24.99,,
1,Senren＊Banka,2020-02-14,99,2878,29.99,,
2,A Short Hike,2019-07-30,99,2776,6.59,,
3,Aseprite,2016-02-22,99,2768,14.99,,
4,Doki Doki Literature Club Fan Pack,2017-09-22,99,1499,9.99,,
5,rian HD,2017-05-08,99,1236,9.99,,
6,This War of Mine: War Child Charity,2015-03-09,99,1180,0.99,,
7,The Scriptwelder Collection,,99,671,19.52,,
8,Don't Escape: 4 Days to Survive,2019-03-11,99,601,14.99,,
9,Smile For Me - Mouthful Edition,,99,533,14.0,,
10,Smile For Me,2019-05-31,99,530,10.79,,
11,The Witcher 3: Wild Hunt - Game of the Year Edition,2016-08-30,98,347481,49.99,,
12,The Witcher® 3: Wild Hunt,2015-05-18,98,337220,29.99,,
13,Portal Bundle,,98,203367,12.28,,
14,Wallpaper Engine,2018-11-16,98,160827,3.99,,
15,Portal 2,2011-04-18,98,148933,8.19,,
16,The Binding of Isaac: Rebirth,2014-11-04,98,90318,14.99,,
17,Factorio,2016-02-25,98,60949,25.0,,
18,RimWorld,2018-10-17,98,60752,29.99,,
19,Portal,2007-10-10,98,54439,8.19,,
20,Half-Life: Alyx,2020-03-23,98,25521,49.99,,
21,A Hat in Time,2017-10-05,98,22530,27.99,,
22,Katana ZERO,2019-04-18,98,21026,12.49,,
23,Hades + Original Soundtrack Bundle,,98,17622,26.26,,
24,Hades,2019-12-10,98,17604,20.99,,
25,One Finger Death Punch,2014-03-03,98,11761,4.99,,
26,Baba Is You,2019-03-13,98,8364,12.49,,
27,DUSK,2018-12-10,98,7505,16.99,,
28,People Playground,2019-07-23,98,6829,8.19,,
29,The Witcher 3: Wild Hunt - Blood and Wine,2016-05-30,98,6181,19.99,,
30,Keep Talking and Nobody Explodes + Soundtrack,,98,6235,19.78,,
31,Keep Talking and Nobody Explodes,2015-10-08,98,6233,14.99,,
32,Epic Battle Fantasy Bundle,,98,4779,31.17,,
33,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,2017-11-17,98,4105,14.99,,
34,CLANNAD,2015-11-23,98,2934,37.99,,
35,Kind Words (lo fi chill beats to write to),2019-09-12,98,2832,3.99,,
36,Epic Battle Fantasy 5 + Soundtrack,,98,2581,19.98,,
37,Epic Battle Fantasy 5,2018-11-30,98,2547,16.99,,
38,Epic Battle Fantasy 4,2014-02-25,98,1990,10.99,,
39,TY the Tasmanian Tiger,2016-12-12,98,1823,13.49,,
40,Dungeon Munchies,2019-06-05,98,1707,11.59,,
41,Marco &amp; The Galaxy Dragon - Deluxe Edition,,98,1663,40.97,,
42,Marco &amp; The Galaxy Dragon,2020-02-28,98,1637,16.79,,
43,WORLD OF HORROR,2020-02-20,98,1603,12.49,,
44,Nova Drift,2019-03-27,98,1488,12.49,,
45,异常 | Exception,2019-07-04,96,456,3.29,,
46,Master Of Pottery,2019-11-11,98,1160,3.29,,
47,Hypnospace Outlaw + Original Soundtrack,,98,1091,22.48,,
48,Hypnospace Outlaw,2019-03-12,98,1079,16.79,,
49,Aokana - Four Rhythms Across the Blue,2019-09-27,98,1033,29.99,,
50,Angels with Scaly Wings - Digital Deluxe Edition,,98,988,14.94,,
51,Angels with Scaly Wings,2017-01-31,98,969,9.99,,
52,Monolith + Relics of the Past,,98,922,13.68,,
53,Tales of the Black Forest,2019-09-25,98,910,3.29,,
54,Tsukikage no Simulacre:Kaihou no Hane,2019-07-26,98,876,13.29,,
55,Monolith,2017-06-07,98,868,7.99,,
56,Sabbat of the Witch,2018-10-26,98,849,27.99,,
57,Bug Fables: The Everlasting Sapling,2019-11-21,98,743,16.79,,
58,Hinamizawa Virus Bundle,,98,701,5.5,,
59,ISLAND,2018-08-23,98,585,33.99,,
60,"Cook, Serve, Delicious! 3?!",2020-01-29,98,577,12.49,,
61,AVICII Invector,2019-12-10,98,516,19.99,,
62,Terraria,2011-05-16,97,386712,9.99,,
63,Euro Truck Simulator 2,2012-10-12,97,222686,19.99,,
64,Stardew Valley,2016-02-26,97,201684,13.99,,
65,Mount &amp; Blade: Warband,2010-03-31,97,86166,19.99,,
66,Half-Life 2,2004-11-16,97,71541,8.19,,
67,Slay the Spire,2019-01-23,97,59671,20.99,,
68,Hotline Miami,2012-10-23,97,44650,8.49,,
69,RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,2019-01-24,97,44077,49.99,,
70,RESIDENT EVIL 2 / BIOHAZARD RE:2,2019-01-24,97,43533,39.99,,
71,BattleBlock Theater®,2014-05-15,97,41355,14.99,,
72,Mirror,2018-04-19,97,39690,1.99,,
73,Slime Rancher,2017-08-01,97,36558,19.99,7.99,60.0
74,South Park™: The Stick of Truth™,2014-03-05,97,31377,29.99,,
75,Broforce,2015-10-15,97,30339,13.99,,
76,Totally Accurate Battle Simulator,2019-04-01,97,29411,12.49,,
77,A Hat in Time - Ultimate Edition,,97,24548,36.84,,
78,Celeste + OST,,97,19039,27.38,,
79,Celeste,2018-01-25,97,19003,19.99,,
80,The Wolf Among Us,2013-10-11,97,18844,14.99,,
81,VA-11 Hall-A: Cyberpunk Bartender Action,2016-06-21,97,16623,14.99,,
82,Super Hexagon,2012-11-27,97,15573,2.99,,
83,Virgo &amp; Niko Bundle,,97,14340,24.1,,
84,Muse Dash,2019-06-19,97,14190,3.49,,
85,OneShot,2016-12-08,97,14095,9.99,,
86,The Room,2014-07-28,97,12765,4.99,,
87,STEINS;GATE SERIES BUNDLE,,97,10414,105.27,,
88,STEINS;GATE + CHAOS;CHILD,,97,10355,78.27,,
89,DUSK + AMID EVIL Bundle,,97,9795,30.58,,
90,STEINS;GATE + STEINS;GATE 0,,97,9583,51.28,,
91,The Room Two,2016-07-05,97,9144,4.99,,
92,NEKOPARA Vol. 3,2017-05-25,97,8503,9.99,,
93,Gunpoint,2013-06-03,97,8497,7.0,,
94,NEKOPARA Vol. 2,2016-02-19,97,8180,9.99,,
95,Soundpad,2017-09-30,97,8152,4.99,,
96,Finding Paradise Game and Soundtrack Bundle,,97,7919,11.98,,
97,Finding Paradise,2017-12-14,97,7844,9.99,,
98,STEINS;GATE,2016-09-09,97,7329,26.99,,
99,Touhou Luna Nights,2019-02-25,97,6910,14.99,,
100,Rabi-Ribi,2016-01-28,97,6929,17.99,,
101,Hook,2015-07-06,97,6659,0.99,,
102,Just Shapes &amp; Beats,2018-05-31,97,5878,16.79,,
103,Gorogoa,2017-12-14,97,5909,14.99,,
104,Dishonored - Definitive Edition,2013-10-10,97,5475,19.99,,
105,Dishonored,2012-10-11,97,5225,9.99,,
106,Super Bit Blaster XL,,97,5300,3.47,,
107,Bit Blaster XL,2016-01-22,97,5161,0.79,,
108,Phoenix Wright: Ace Attorney Trilogy - Turnabout Tunes Bundle / 逆転裁判123 成歩堂セレクション - コレクターズパッケージ,,97,4923,35.58,,
109,Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,2019-04-09,97,4903,29.99,,
110,Hidden Folks EVERYTHING,,97,4896,12.57,,
111,Hidden Folks,2017-02-15,97,4815,7.99,,
112,Supraland,2019-04-05,97,4571,19.99,,
113,Mindustry,2019-09-26,97,4222,4.99,,
114,West of Loathing,2017-08-10,97,4152,8.99,,
115,The Witcher 3: Wild Hunt - Hearts of Stone,2015-10-12,97,4080,9.99,,
116,klocki,2016-07-13,97,3599,0.99,,
117,CLANNAD Bundle,,97,3388,70.17,,
118,Defense Grid: Containment Bundle,2013-01-23,97,3230,16.79,,
119,Defense Grid: The Awakening,2008-12-08,97,3173,8.49,,
120,Glass Masquerade,2016-11-18,97,2954,4.99,,
121,LiEat,2016-02-25,97,2776,2.99,,
122,Opus Magnum,2017-12-07,97,2548,19.99,,
123,Sayonara Wild Hearts,2019-12-12,97,2489,10.79,,
124,One Finger Death Punch 2,2019-04-15,97,2460,6.59,,
125,TIS-100,2015-07-20,97,2427,6.99,,
126,Orbt XL,2017-04-21,97,2416,0.79,,
127,Rakuen,2017-05-10,97,2370,9.99,,
128,Unreal Tournament 2004: Editor's Choice Edition,2008-03-17,97,2339,14.99,,
129,Fox Hime Zero,2018-05-23,97,2280,1.59,,
130,Unreal Tournament: Game of the Year Edition,2008-03-17,97,2285,9.99,,
131,FIVE NIGHTS AT FREDDY'S: HELP WANTED,2019-05-28,97,2272,24.99,,
132,Day of the Tentacle Remastered,2016-03-21,97,2145,14.99,,
133,Primordia,2012-12-05,97,2046,9.99,,
134,Caves of Qud + Soundtrack,,97,2000,17.48,,
135,NEKOPARA Extra,2018-07-26,97,1757,3.99,,
136,Outlast: Whistleblower DLC,2014-05-06,97,1710,7.39,,
137,Miracle snack shop 기적의 분식집,2018-12-25,97,1681,8.19,,
138,Neighbours from Hell Compilation,2013-11-07,97,1539,9.99,,
139,Broken Reality Hypnospace Outlaw,,97,1516,27.01,,
140,rian ~the reverie of a little planet~,2014-09-12,97,1496,9.99,,
141,Don't Starve: Reign of Giants,2014-04-30,97,1414,4.99,,
142,The Legend of Heroes: Trails in the Sky SC,2015-10-29,97,1331,27.99,,
143,Fluffy Store,2019-08-14,97,1252,1.59,,
144,Wildermyth,2019-11-13,97,1176,16.79,,
145,東方幕華祭 春雪篇 ～ Fantastic Danmaku Festival Part II,2019-03-18,97,1155,10.79,,
146,Spin Rhythm XD,2019-10-22,97,1024,17.99,,
147,The House in Fata Morgana,2016-05-13,97,1008,22.99,,
148,Littlewood,2019-06-17,97,930,12.49,,
149,Dream Ending,2019-07-22,97,900,3.29,,
150,Parkasaurus,2018-09-25,97,888,20.99,,
151,The Ditzy Demons Are in Love With Me,2018-10-26,97,845,20.99,,
152,Akane,2018-09-10,97,843,3.99,,
153,Flowers -Le volume sur printemps-,2016-08-17,97,758,19.99,,
154,The Curse of Monkey Island,2018-03-22,97,755,5.69,,
155,Hylics,2015-10-02,97,714,2.99,,
156,Wandersong Game + Complete Soundtrack,,97,705,31.82,,
157,The Coma 2: Vicious Sisters,2020-01-28,97,705,14.99,,
158,Wandersong,2018-09-27,97,701,19.99,,
159,The Pedestrian,2020-01-29,97,694,16.79,,
160,killer7,2018-11-15,97,700,19.99,,
161,The Crown of Leaves,2018-11-26,97,655,3.99,,
162,THANK YOU ALL,,97,662,13.28,,
163,Roman's Christmas / 罗曼圣诞探案集,2020-02-19,97,657,8.99,,
164,The Witch's House MV,2018-10-30,97,621,12.49,,
165,Paradigm,2017-04-05,97,617,14.99,,
166,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,2018-08-16,97,614,7.39,,
167,Enigmatis 2: The Mists of Ravenwood,2014-06-05,97,605,7.99,,
168,The Political Process,2019-11-22,97,589,12.49,,
169,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,2019-09-09,97,569,12.49,,
170,Draw Puzzle 画之谜,2017-08-04,97,559,4.99,,
171,Misao: Definitive Edition,2017-10-25,97,564,4.99,,
172,IronWolf VR,2017-03-13,97,552,18.99,,
173,I wanna be the Creator,2019-11-15,97,527,4.99,,
174,Raging Loop,2017-08-23,97,519,29.99,,
175,Pajama Sam: No Need to Hide When It's Dark Outside,2014-04-17,97,515,6.99,,
176,Chicken Invaders 5 Deluxe,,97,509,9.87,,
177,Grim Legends 2: Song of the Dark Swan,2015-03-26,97,506,7.99,,
178,Garry's Mod,2006-11-29,96,461885,9.99,,
179,Left 4 Dead Bundle,,96,247822,12.28,,
180,Euro Truck Simulator 2 Essentials,,96,232146,50.52,,
181,Best of Klei 2019,,96,232292,56.78,,
182,Left 4 Dead 2,2009-11-16,96,228133,8.19,,
183,Black Sea Bundle,,96,226847,45.84,,
184,Klei Survival Bundle 2019,,96,224675,43.88,,
185,Don't Starve MEGA PACK 2019,,96,181297,29.83,,
186,Don't Starve Together,2016-04-21,96,114191,14.99,,
187,Undertale,2015-09-15,96,106279,9.99,,
188,The Binding of Isaac: Rebirth Complete Bundle,,96,100839,35.97,,
189,Sid Meier's Civilization® V,2010-09-21,96,99453,29.99,,
190,Mount &amp; Blade: Warband DLC Collection,,96,92948,38.22,,
191,Hollow Knight &amp; Soundtracks,,96,79212,23.17,,
192,Hollow Knight,2017-02-24,96,78806,14.99,,
193,Don't Starve Alone Pack Plus,,96,67051,17.89,,
194,Music to Your Ears Bundle,,96,66856,130.6,,
195,Don't Starve,,96,61597,8.19,,
196,Risk of Rain 2,2019-03-28,96,58346,17.99,,
197,Cuphead,2017-09-29,96,48587,19.99,,
198,Castle Crashers®,2012-09-26,96,47441,11.99,,
199,Dead Cells: The Bad Seed Bundle,,96,43923,26.98,,
200,NEKOPARA complete edition,,96,43824,29.66,,
201,Mirror Bundle,,96,43024,10.13,,
202,Dead Cells,2018-08-06,96,43431,24.99,,
203,Oxygen Not Included,2019-07-30,96,43398,22.99,,
204,FTL: Faster Than Light + Soundtrack,2012-09-14,96,41181,13.48,,
205,FTL: Faster Than Light,2012-09-14,96,41101,9.99,,
206,Outlast,2013-09-04,96,35210,16.79,,
207,To the Moon,2012-09-07,96,34570,7.99,,
208,Half-Life,1998-11-19,96,34478,8.19,,
209,NecroDancer VS Danganronpa,,96,33879,55.76,,
210,Killing Floor,2009-05-14,96,33273,14.99,,
211,Beat Saber,2019-05-21,96,31899,29.99,,
212,Deep Rock Galactic: Dwarven Legacy,,96,30872,56.75,,
213,Deep Rock Galactic: Deluxe Edition,,96,30407,41.37,,
214,Deep Rock Galactic,2020-05-13,96,30288,29.99,,
215,"Papers, Please",2013-08-08,96,30232,8.99,,
216,The Walking Dead,2012-04-24,96,29285,14.99,,
217,Plants vs. Zombies GOTY Edition,2009-05-05,96,28129,4.99,,
218,Ori and the Blind Forest: Definitive Edition,2016-04-27,96,27020,19.99,,
219,Nolla Games Bundle,,96,25197,62.5,,
220,GRIS,2018-12-13,96,24068,16.99,,
221,Terry Cavanagh Collection,,96,22917,20.47,,
